beta,sigma,theta1,theta2
1.343545,1.320798,1.331426,1.458465
1.341438,1.426916,14.684975,2.760189
1.758444,1.353661,2.059926,1.347262
1.339964,1.354798,1.268674,1.337791
1.353940,1.327633,1.313227,1.292977
1.362378,1.350904,1.356402,1.326134
1.330196,1.666436,1.583703,1.321373
1.578255,3.933221,3.250974,3.555598
2.064034,3.246756,3.268487,1.741251
1.597319,1.347144,1.352841,1.338445
1.564733,1.295577,1.570544,1.429280
1.233305,2.891310,2.236221,3.018796
4.628732,2.022090,3.160399,2.180739
1.693655,1.346781,1.415944,1.987586
1.842517,1.500963,1.605102,1.537347
1.303257,1.949008,2.029966,2.130794
1.456075,0.970292,2.259700,1.101932
2.411182,1.476497,1.439398,1.333821
1.444159,1.587791,1.613623,1.504530
1.483546,2.014799,2.016403,1.647619
1.861033,1.564852,4.486518,7.083185
6.690664,6.191355,3.828167,4.454108
3.253323,2.322742,1.378155,1.992687
2.477750,2.699753,2.754951,1.338089
1.269757,1.335886,1.342460,1.413396
1.328551,1.307771,1.328835,1.406131
1.977584,1.801779,3.404334,4.251655
4.026467,1.408486,2.309647,1.344922
1.333611,9.389726,7.563584,7.326710
6.743355,6.601120,6.811542,1.333828
1.334503,1.295217,1.897663,5.879375
11.289225,9.993982,7.395787,7.035043
1.972923,1.382066,1.640752,1.703392
1.510412,1.477120,1.375140,1.420483
1.309165,1.333165,1.268599,4.504588
0.814856,1.682105,1.543313,1.585515
2.728737,1.475784,1.467116,1.106144
1.631911,1.455946,1.410717,1.354246
1.283519,1.270438,1.305131,1.378097
1.614764,1.347147,1.367619,1.363769
1.434587,1.437148,1.521258,1.857052
1.414618,1.865067,1.458482,1.398857
1.295190,1.371842,1.362412,1.430564
1.328007,1.268599,1.345747,1.341075
1.476955,1.580250,1.368753,1.303795
1.357095,1.356794,1.406651,1.676797
1.610803,1.528204,1.987557,1.401961
1.612553,1.309030,2.387954,1.519416
1.314988,1.547071,2.909499,3.314787
2.153471,1.637986,1.383775,1.351914
1.729711,1.281599,1.284242,2.534922
1.312975,1.326033,1.403062,2.275220
1.337739,1.802180,1.473525,1.623124
1.304201,2.121588,1.439633,1.665072
1.354830,1.286962,1.324446,1.414044
1.421331,1.485720,1.330315,1.403272
1.443730,1.575400,1.933594,1.439668
1.424241,1.458077,1.366223,1.537164
1.380422,1.351210,1.658422,1.535942
1.535697,1.271049,1.305608,1.573821
1.365838,1.416559,1.837102,2.128087
2.476733,1.564172,1.432421,1.273113
1.285065,1.456416,1.589478,1.355627
1.321666,1.632236,1.317007,1.708464
1.435125,1.456117,1.420696,1.285406
1.853757,1.328282,1.298081,1.385691
1.679987,1.407833,1.615845,3.391048
2.912932,1.762888,2.360717,1.900166
1.437997,1.311539,2.253615,2.039077
1.360762,1.411025,1.487613,1.624484
1.462744,1.637253,1.448329,1.367480
1.846695,1.452430,1.847661,11.426364
2.844642,1.905723,1.301771,1.342745
1.313771,1.353379,1.677100,1.271460
1.499084,2.337843,2.032635,2.573060
1.438022,2.062943,1.541626,1.630850
1.578081,1.355477,1.613662,1.892080
1.281806,1.673249,1.722100,1.943903
1.700852,1.438239,1.431336,1.453213
1.425272,2.430212,1.306859,1.357834
1.533012,1.688276,2.233686,1.428967
1.507720,1.331002,1.512887,1.378898
1.505101,1.305546,1.541876,1.697770
4.161148,1.340622,2.532879,11.133078
6.861966,4.648508,1.868061,2.148845
