likelihood_theta2,theta2
8.7171299857e-19,0.4752688584
5.9884835891e-18,0.9959304455
7.0134651636e-20,0.2447936943
4.3000898173e-19,1.4810778413
1.3452388498e-18,0.5313024508
3.2495821232e-19,0.3707777677
1.7543479674e-21,0.0351352413
5.7836070192e-18,0.8774589736
6.0844442172e-18,0.9498551914
8.4065720173e-36,3.1394056924
1.6346414686e-20,0.1479468507
1.1999048941e-20,0.1295027132
3.3397932483e-18,0.6882821440
1.4672932335e-20,0.1414229143
4.7506114639e-21,0.0787411152
2.8126090319e-18,0.6521608449
1.4962647742e-19,0.3030456591
3.0651648288e-46,3.9320186707
1.0165510331e-19,0.2725111876
3.6468091736e-21,0.0657268533
2.9003611947e-24,2.1860802365
1.8497361436e-49,4.1941702695
5.5988867396e-19,0.4251749628
1.3975537356e-18,1.3489962191
4.3180326373e-21,1.8200507780
1.7550059998e-21,0.0351483919
1.3119785994e-19,0.2924554232
6.5153498115e-19,0.4416519147
2.1886233653e-18,0.6060988984
3.4073305502e-18,1.2040644117
4.9581319697e-18,0.7997519388
2.8086363718e-21,0.0537616089
1.1482062711e-19,1.5968828234
2.4188853846e-19,0.3438297978
1.3325005461e-21,1.8875647967
3.1672290195e-18,1.2191023190
3.6638202036e-20,0.1994790805
6.0821309020e-20,0.2345243299
6.0507270621e-18,0.9282645125
3.1850223978e-21,1.8379890685
5.3922239593e-18,1.0691423139
1.4571976004e-29,2.6575591110
2.0887059336e-55,4.7252463071
6.2937021907e-35,3.0737728979
1.9660216553e-19,0.3258018173
5.5737184226e-19,0.4246950330
9.0549589981e-22,0.0158969167
6.9391479560e-19,0.4486982109
5.6085552246e-18,1.0486661800
2.1410894999e-19,0.3331372737
3.1911338404e-21,0.0594870832
1.5440018694e-18,0.5509614635
3.9494030213e-19,0.3895080873
8.9145651631e-21,0.1124573688
1.4252769125e-19,0.2991030883
1.2459837638e-21,0.0242496029
5.9473120566e-18,1.0041913387
2.0499603950e-21,0.0408332763
5.2829872979e-19,1.4605820828
5.5788337147e-18,0.8538522439
8.0275767631e-19,0.4654682617
1.1132056144e-18,0.5058554636
2.4253544928e-20,1.7107253024
5.8375834484e-18,1.0216038262
1.2522972160e-18,0.5214804136
2.1694706681e-29,2.6434966432
4.9016676706e-20,1.6614649764
3.2962567676e-21,1.8359828981
1.1460832546e-18,0.5096598759
1.6836393179e-18,0.5638693991
1.3458047226e-25,2.3150504636
3.4468475606e-21,0.0630608991
3.3989156968e-19,0.3750231674
6.0476430286e-18,0.9271491678
7.3905338296e-20,0.2486178868
2.3622265513e-19,0.3417331260
2.6608871558e-24,2.1898398150
3.6434843404e-18,1.1893920136
3.9556922415e-18,0.7293541418
3.0625608004e-20,0.1875999027
9.0379096427e-19,0.4796431787
2.1772194723e-19,0.3345896685
3.8905160508e-18,0.7250052430
2.2509099424e-20,1.7157675392
8.7497980282e-19,1.4062938595
4.3826940942e-20,0.2116133685
2.3870464531e-18,0.6213011402
2.8532521509e-20,0.1829785576
2.0856929061e-18,0.5979490605
4.5868018585e-19,0.4044380798
7.2309938440e-22,0.0107871655
9.7996454018e-21,0.1178136534
7.1832106907e-36,3.1445212698
1.1035865670e-18,0.5047283025
5.4571745809e-18,1.0633249576
1.0038303368e-44,3.8129162285
6.7268234700e-22,0.0092053761
2.2701612303e-20,0.1683186253
1.6422836598e-21,0.0328632491
1.0127289043e-19,1.6068109925
2.5019647192e-20,0.1745046090
1.8902362071e-21,0.0378057018
5.9371328503e-18,0.9007060315
4.0448457603e-19,1.4870140017
1.7229166605e-20,0.1511552013
3.7674762382e-18,1.1816953765
1.8265543671e-20,0.1547425216
2.0516648491e-18,0.5952101150
2.9131969975e-37,3.2485398070
1.7917838552e-20,0.1535593799
5.8646893747e-18,0.8887835647
9.0776735689e-19,0.4801778427
1.1542483054e-18,0.5105934544
1.1764594684e-18,1.3710230922
6.1380146209e-19,1.4450902470
6.9070622778e-42,3.5951909335
1.1643293338e-36,3.2036191614
5.0093288511e-19,0.4134787656
4.4364597760e-21,0.0752983800
5.1863020759e-21,0.0832268329
1.6390707413e-18,0.5598206547
4.5248113728e-26,2.3587085181
1.5546465820e-19,0.3061726094
1.3214239664e-19,0.2930276790
2.3056012539e-18,0.6151359328
2.3127098908e-19,0.3398670862
2.5537917753e-18,1.2589571902
1.7650934146e-18,0.5711115628
1.0901604698e-18,0.5031440139
1.1303946866e-18,0.5078536461
5.4860040222e-19,0.4230096488
2.5932709586e-18,1.2562986337
5.8684654874e-22,1.9320974187
4.6975532003e-18,0.7803999749
1.2766324092e-18,0.5240960721
1.4607404011e-19,0.3010927251
3.7408675852e-18,1.1833479748
5.2908787859e-22,0.0019336270
9.9070180179e-21,0.1184347425
2.0692933479e-19,1.5480724788
7.6510037644e-23,2.0355804625
7.6967249322e-22,0.0121633076
2.6844096922e-18,0.6430713181
7.3358320042e-30,2.6816766680
3.1869997915e-19,0.3689526810
1.2111663598e-18,1.3673902090
1.7440926037e-24,2.2081404647
4.3372168784e-18,1.1457986325
5.2850276660e-18,0.8262380347
4.3537262194e-22,1.9478597432
7.5930340054e-19,0.4589814074
5.7006527160e-18,1.0387188275
2.9126703912e-18,0.6591553715
3.2009211855e-20,0.1905044008
6.0397003092e-18,0.9244689424
1.8176962237e-19,0.3191542443
3.3685041460e-18,0.6902093114
7.2293153501e-33,2.9174413524
2.3506379648e-32,2.8780611044
2.3897842386e-34,3.0300810739
1.1492083605e-46,3.9659503813
6.6569374567e-53,4.4927544576
5.1277494457e-52,4.4137511534
3.5185958828e-21,0.0640299713
1.0343255150e-18,1.3867304409
2.2514325531e-20,0.1677948514
2.1871993225e-23,2.0951121340
1.1657064563e-27,2.4990245016
1.4096793718e-18,1.3478573834
5.6394969061e-18,0.8603190939
3.3162610595e-35,3.0946951909
8.1354795751e-39,3.3644981317
3.9977931287e-18,0.7321685264
1.5445228323e-18,0.5510108868
4.8115462263e-18,1.1140494624
5.7475622983e-18,0.8728799510
8.0745017905e-19,0.4661536729
2.1075803247e-19,0.3317722288
4.6367767765e-18,0.7760372543
3.9572850625e-18,0.7294605379
5.8339848959e-22,0.0059067340
4.0647575516e-18,0.7366556686
1.0814709660e-19,1.6016368959
2.0949717661e-34,3.0344007188
8.0085929745e-42,3.5903230622
6.3475469775e-19,0.4387691417
